feature_name,max_value,min_value
id_invicrot1_thk_left_supramarginaldktcortex,1.5435486,0.6024831
id_invicrot1_area_left_insuladktcortex,5685.069,1546.1569
id_invicrot1_thk_right_pericalcarinedktcortex,1.5901074,0.42956048
id_invicrot1_vol_left_parahippocampalmtl,5308.981,44.049683
id_invicrot1_area_right_superior_frontaldktregions,26816.451,9589.098
id_invicrot1_vol_left_rostral_middle_frontaldktregions,23278.164,5234.3687
id_invicrot1_area_mtg_sn_snr_leftdeep_cit168,46656.387,24.062561
id_invicrot1_vol_superior_longitudinal_fasciculus_lwmtracts_left,17665.096,6129.4907
id_invicrot1_vol_right_subiculummtl,1321.0,1.3348387
id_invicrot1_vol_left_caudal_anterior_cingulatedktcortex,6908.9995,954.2914
id_invicrot1_area_right_precentraldktcortex,15705.548,5361.396
id_invicrot1_thk_left_superior_temporaldktregions,1.963947,1.3370187
id_invicrot1_area_bn_gp_vep_leftcit168,321.91525,81.715164
id_invicrot1_area_right_palladiumdktregions,932.64825,334.10587
id_invicrot1_area_right_medial_orbitofrontaldktregions,5190.046,1252.7001
id_invicrot1_thk_left_pallidiumdktregions,2.231481,0.85382247
id_invicrot1_vol_left_isthmus_cingulatedktregions,4130.022,759.99554
id_invicrot1_thk_right_lateral_occipitaldktregions,1.9465727,1.2391834
id_invicrot1_thk_left_caudal_anterior_cingulatedktcortex,2.2132518,0.5913623
id_invicrot1_area_left_fusiformdktcortex,9992.255,3053.2898
id_invicrot1_vol_bn_str_pu_rightdeep_cit168,9267.04,1914.0027
id_invicrot1_vol_right_entorhinaldktregions,4670.143,42.000214
id_invicrot1_vol_corticospinal_lwmtracts_left,29094.014,12135.9795
id_invicrot1_vol_right_medial_orbitofrontaldktregions,6886.0,1076.0055
id_invicrot1_area_left_lateral_orbitofrontaldktcortex,8694.502,3192.7195
id_invicrot1_vol_frontal_ldktlobes,309318.66,103862.47
id_invicrot1_thk_corpus_callosumwmtracts_right,2.155021,1.390874
id_invicrot1_area_left_precentraldktcortex,14699.903,4480.2656
